Country,Indicator,,,,Year
Afghanistan,6,South Asia,34.4754 66.8303,Afghanistan,2019
Albania,0,Europe and Central Asia,41.1413 20.0325,Albania,2019
Algeria,3,Middle East and North Africa,27.5231 3.1685,Algeria,2019
Andorra,0,Europe and Central Asia,42.5413 1.5609,Andorra,2019
Angola,12,Sub-Saharan Africa,-12.2916 17.5029,Angola,2019
Antigua and Barb.,0,Latin America and Caribbean,,Antigua and Barbuda,2019
Argentina,1,Latin America and Caribbean,-96.0845,Argentina,2019
Armenia,2,Europe and Central Asia,40.2165 45.0003,Armenia,2019
Australia,0,East Asia and Pacific,-23.079 132.842,Australia,2019
Austria,0,Europe and Central Asia,47.614 14.0762,Austria,2019
Azerbaijan,4,Europe and Central Asia,40.2805 47.6804,Azerbaijan,2019
Bahamas,4,Latin America and Caribbean,24.5065 -77.916,Bahamas,2019
Bahrain,0,Middle East and North Africa,26.0165 50.5475,Bahrain,2019
Bangladesh,7,South Asia,23.5391 89.8049,Bangladesh,2019
Barbados,0,Latin America and Caribbean,13.1645 -59.5405,Barbados,2019
Belarus,0,Europe and Central Asia,53.744 27.947,Belarus,2019
Belgium,0,Europe and Central Asia,50.6522 4.5809,Belgium,2019
Belize,3,Latin America and Caribbean,17.197 -88.7035,Belize,2019
Benin,10,Sub-Saharan Africa,10.6795 2.2845,Benin,2019
Bhutan,6,South Asia,27.5075 90.4695,Bhutan,2019
Bolivia,7,Latin America and Caribbean,-81.3702,Bolivia (Plurinational State of),2019
Bosnia and Herzegovina,0,Europe and Central Asia,44.1809 17.8168,Bosnia and Herzegovina,2019
Botswana,8,Sub-Saharan Africa,-21.6721 23.9051,Botswana,2019
Brazil,2,Latin America and Caribbean,-61.4271,Brazil,2019
Brunei,2,East Asia and Pacific,4.4137 114.5654,Brunei Darussalam,2019
Bulgaria,2,Europe and Central Asia,42.7345 23.8815,Bulgaria,2019
Burkina Faso,9,Sub-Saharan Africa,13.0516 -0.6541,Burkina Faso,2019
Burundi,9,Sub-Saharan Africa,-3.407 29.8885,Burundi,2019
Cambodia,7,East Asia and Pacific,12.5285 104.3905,Cambodia,2019
Cameroon,10,Sub-Saharan Africa,4.5495 11.3105,Cameroon,2019
Canada,0,North America,58.838 -120.439,Canada,2019
Cape Verde,2,Sub-Saharan Africa,16.0001 -24.0084,Cabo Verde,2019
Central African Republic,9,Sub-Saharan Africa,7.2596 21.6691,Central African Republic,2019
Chad,15,Sub-Saharan Africa,17.1223 19.3602,Chad,2019
Chile,0,Latin America and Caribbean,-118.6763,Chile,2019
China,3,East Asia and Pacific,32.205 109.444,China,2019
Colombia,2,Latin America and Caribbean,3.6525 -73.3121,Colombia,2019
Comoros,10,Sub-Saharan Africa,-11.79 43.356,Comoros,2019
Congo,7,Sub-Saharan Africa,0.0213 16.1533,Congo,2019
Costa Rica,1,Latin America and Caribbean,9.9656 -84.1755,Costa Rica,2019
Cote d'Ivoire,9,Sub-Saharan Africa,7.9897 -5.5679,Côte d'Ivoire,2019
Croatia,1,Europe and Central Asia,46.001 16.172,Croatia,2019
Cuba,1,Latin America and Caribbean,20.2717 -75.3897,Cuba,2019
Cyprus,0,Europe and Central Asia,34.8725 33.131,Cyprus,2019
Czech Republic,1,Europe and Central Asia,49.836 15.5465,Czechia,2019
Democratic Republic of the Congo,8,Sub-Saharan Africa,-1.6864 23.7526,Democratic Republic of the Congo,2019
Denmark,0,Europe and Central Asia,56.2196 9.3108,Denmark,2019
Djibouti,8,Sub-Saharan Africa,12.169 42.904,Djibouti,2019
Dominica,1,Latin America and Caribbean,15.4365 -61.357,Dominica,2019
Dominican Republic,5,Latin America and Caribbean,18.8845 -70.4623,Dominican Republic,2019
Ecuador,2,Latin America and Caribbean,-79.8388,Ecuador,2019
Egypt,1,Middle East and North Africa,26.1939 28.8939,Egypt,2019
El Salvador,2,Latin America and Caribbean,13.7262 -88.8729,El Salvador,2019
Equatorial Guinea,11,Sub-Saharan Africa,1.647 10.2955,Equatorial Guinea,2019
Eritrea,8,Sub-Saharan Africa,15.9194 38.4016,Eritrea,2019
Estonia,0,Europe and Central Asia,58.5425 26.5455,Estonia,2019
Eswatini,9,Sub-Saharan Africa,-26.5625 31.3991,Eswatini,2019
Ethiopia,9,Sub-Saharan Africa,8.83 38.362,Ethiopia,2019
Fiji,6,East Asia and Pacific,-17.814 177.759,Fiji,2019
Finland,0,Europe and Central Asia,63.0704 27.7396,Finland,2019
France,1,Europe and Central Asia,46.6113 2.3336,France,2019
Gabon,8,Sub-Saharan Africa,-0.647 11.6875,Gabon,2019
Gambia,7,Sub-Saharan Africa,13.5035 -14.2265,Gambia,2019
Georgia,1,Europe and Central Asia,42.1618 43.4818,Georgia,2019
Germany,0,Europe and Central Asia,51.143 9.829,Germany,2019
Ghana,6,Sub-Saharan Africa,6.862 -1.092,Ghana,2019
Greece,0,Europe and Central Asia,38.4414 22.1814,Greece,2019
Grenada,0,Latin America and Caribbean,12.1178 -61.6791,Grenada,2019
Guatemala,9,Latin America and Caribbean,15.2365 -90.7275,Guatemala,2019
Guinea,11,Sub-Saharan Africa,10.6071 -13.1511,Guinea,2019
Guinea-Bissau,9,Sub-Saharan Africa,12.0227 -15.1106,Guinea-Bissau,2019
Guyana,4,Latin America and Caribbean,4.8175 -58.9745,Guyana,2019
Haiti,11,Latin America and Caribbean,19.4448 -72.1017,Haiti,2019
Honduras,4,Latin America and Caribbean,14.8229 -86.5899,Honduras,2019
