Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Afghanistan,Under-five mortality rate,Female,2021,52.1664425840039,,"Deaths per 1,000 live births",Normal value,,38.219025196261,69.6274226728191,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Male,2021,59.1169789690619,,"Deaths per 1,000 live births",Normal value,,43.4104507423924,78.8970017037254,,,,UN_IGME,,,,,,Total
Afghanistan,Under-five mortality rate,Total,2021,55.6574829074136,,"Deaths per 1,000 live births",Normal value,,40.8300768429803,74.2355739625073,,,,UN_IGME,,,,,,Total
Albania,Under-five mortality rate,Female,2021,8.72012565746799,,"Deaths per 1,000 live births",Normal value,,8.00117962736805,9.50665922764694,,,,UN_IGME,,,,,,Total
Albania,Under-five mortality rate,Male,2021,10.1590166807793,,"Deaths per 1,000 live births",Normal value,,9.32866478493633,11.0472888009038,,,,UN_IGME,,,,,,Total
Albania,Under-five mortality rate,Total,2021,9.45591929580101,,"Deaths per 1,000 live births",Normal value,,8.72479451688121,10.2466415661553,,,,UN_IGME,,,,,,Total
Algeria,Under-five mortality rate,Female,2021,20.601322365474,,"Deaths per 1,000 live births",Normal value,,18.0743121164909,23.4981213561776,,,,UN_IGME,,,,,,Total
Algeria,Under-five mortality rate,Male,2021,23.9814427395287,,"Deaths per 1,000 live births",Normal value,,21.1067081017943,27.3407715154779,,,,UN_IGME,,,,,,Total
Algeria,Under-five mortality rate,Total,2021,22.3352879879139,,"Deaths per 1,000 live births",Normal value,,19.7121805527951,25.3723015673097,,,,UN_IGME,,,,,,Total
Andorra,Under-five mortality rate,Female,2021,2.39349052505323,,"Deaths per 1,000 live births",Normal value,,0.64031001695513,9.05570272117901,,,,UN_IGME,,,,,,Total
Andorra,Under-five mortality rate,Male,2021,3.07828146363569,,"Deaths per 1,000 live births",Normal value,,0.82216617140066,11.6052417558524,,,,UN_IGME,,,,,,Total
Andorra,Under-five mortality rate,Total,2021,2.75636216753319,,"Deaths per 1,000 live births",Normal value,,0.73234665002383,10.4038260416549,,,,UN_IGME,,,,,,Total
Angola,Under-five mortality rate,Female,2021,63.2850376054786,,"Deaths per 1,000 live births",Normal value,,26.8602118867051,125.243606985321,,,,UN_IGME,,,,,,Total
Angola,Under-five mortality rate,Male,2021,75.2079070534303,,"Deaths per 1,000 live births",Normal value,,31.7180936897932,148.674427649908,,,,UN_IGME,,,,,,Total
Angola,Under-five mortality rate,Total,2021,69.4213315853047,,"Deaths per 1,000 live births",Normal value,,29.4128954950604,137.328851947692,,,,UN_IGME,,,,,,Total
Anguilla,Under-five mortality rate,Female,2021,4.06465625561779,,"Deaths per 1,000 live births",Normal value,,1.91472975452605,8.59033589801164,,,,UN_IGME,,,,,,Total
Anguilla,Under-five mortality rate,Male,2021,4.00580894048673,,"Deaths per 1,000 live births",Normal value,,1.90559198078036,8.44392159679233,,,,UN_IGME,,,,,,Total
Anguilla,Under-five mortality rate,Total,2021,4.0450933720228,,"Deaths per 1,000 live births",Normal value,,1.91737848341524,8.5237927598002,,,,UN_IGME,,,,,,Total
Antigua and Barbuda,Under-five mortality rate,Female,2021,5.64353326129548,,"Deaths per 1,000 live births",Normal value,,3.67468866156071,8.80239788959217,,,,UN_IGME,,,,,,Total
Antigua and Barbuda,Under-five mortality rate,Male,2021,6.61255031235752,,"Deaths per 1,000 live births",Normal value,,4.30741312652423,10.2246185481451,,,,UN_IGME,,,,,,Total
Antigua and Barbuda,Under-five mortality rate,Total,2021,6.14456225807726,,"Deaths per 1,000 live births",Normal value,,4.00276019991139,9.52161386947631,,,,UN_IGME,,,,,,Total
Argentina,Under-five mortality rate,Female,2021,6.03308730378961,,"Deaths per 1,000 live births",Normal value,,5.7189514389981,6.37217268969402,,,,UN_IGME,,,,,,Total
Argentina,Under-five mortality rate,Male,2021,7.76226482749838,,"Deaths per 1,000 live births",Normal value,,7.36710715280431,8.19827713767805,,,,UN_IGME,,,,,,Total
Argentina,Under-five mortality rate,Total,2021,6.9181988114155,,"Deaths per 1,000 live births",Normal value,,6.5789879745857,7.28659919239999,,,,UN_IGME,,,,,,Total
Armenia,Under-five mortality rate,Female,2021,9.62480965606722,,"Deaths per 1,000 live births",Normal value,,7.53860562212899,12.1305139175133,,,,UN_IGME,,,,,,Total
Armenia,Under-five mortality rate,Male,2021,11.7780861234997,,"Deaths per 1,000 live births",Normal value,,9.23060832571253,14.7643120934795,,,,UN_IGME,,,,,,Total
Armenia,Under-five mortality rate,Total,2021,10.7211405020471,,"Deaths per 1,000 live births",Normal value,,8.43407690057823,13.4087083630513,,,,UN_IGME,,,,,,Total
Australia,Under-five mortality rate,Female,2021,3.3734772830822,,"Deaths per 1,000 live births",Normal value,,3.16051471895579,3.59382783313294,,,,UN_IGME,,,,,,Total
Australia,Under-five mortality rate,Male,2021,4.03608613132952,,"Deaths per 1,000 live births",Normal value,,3.79653609178359,4.29251630596147,,,,UN_IGME,,,,,,Total
Australia,Under-five mortality rate,Total,2021,3.71192244206751,,"Deaths per 1,000 live births",Normal value,,3.50267243363384,3.93713919097401,,,,UN_IGME,,,,,,Total
Australia and New Zealand,Under-five mortality rate,Female,2021,3.5378305702668,,"Deaths per 1,000 live births",Normal value,,3.35205166951811,3.73809093541461,,,,UN_IGME,,,,,,Total
Australia and New Zealand,Under-five mortality rate,Male,2021,4.22709275060185,,"Deaths per 1,000 live births",Normal value,,4.01356189185853,4.45968490908216,,,,UN_IGME,,,,,,Total
Australia and New Zealand,Under-five mortality rate,Total,2021,3.8907460599007,,"Deaths per 1,000 live births",Normal value,,3.70496091692774,4.09348559253552,,,,UN_IGME,,,,,,Total
Austria,Under-five mortality rate,Female,2021,3.31114999707124,,"Deaths per 1,000 live births",Normal value,,2.96164167186203,3.70438636034612,,,,UN_IGME,,,,,,Total
Austria,Under-five mortality rate,Male,2021,3.98792910947114,,"Deaths per 1,000 live births",Normal value,,3.58226752503421,4.46328736376201,,,,UN_IGME,,,,,,Total
Austria,Under-five mortality rate,Total,2021,3.65759460014716,,"Deaths per 1,000 live births",Normal value,,3.29113042100195,4.07156482122834,,,,UN_IGME,,,,,,Total
Azerbaijan,Under-five mortality rate,Female,2021,16.7652363710199,,"Deaths per 1,000 live births",Normal value,,9.93699433486066,28.6561100517899,,,,UN_IGME,,,,,,Total
Azerbaijan,Under-five mortality rate,Male,2021,20.3240160894476,,"Deaths per 1,000 live births",Normal value,,12.0635715686874,34.5413272686536,,,,UN_IGME,,,,,,Total
Azerbaijan,Under-five mortality rate,Total,2021,18.5862008117312,,"Deaths per 1,000 live births",Normal value,,11.0289843839543,31.5942520807858,,,,UN_IGME,,,,,,Total
Bahamas,Under-five mortality rate,Female,2021,12.1191741123646,,"Deaths per 1,000 live births",Normal value,,10.3138758441786,14.2076210997422,,,,UN_IGME,,,,,,Total
Bahamas,Under-five mortality rate,Male,2021,14.1548198694023,,"Deaths per 1,000 live births",Normal value,,12.1058981984272,16.5265728444214,,,,UN_IGME,,,,,,Total
Bahamas,Under-five mortality rate,Total,2021,13.1591271550021,,"Deaths per 1,000 live births",Normal value,,11.2873145214336,15.3631094717251,,,,UN_IGME,,,,,,Total
Bahrain,Under-five mortality rate,Female,2021,6.59116367749857,,"Deaths per 1,000 live births",Normal value,,5.59624950520326,7.78091076774791,,,,UN_IGME,,,,,,Total
Bahrain,Under-five mortality rate,Male,2021,7.22772654250583,,"Deaths per 1,000 live births",Normal value,,6.1553070859533,8.49019353921421,,,,UN_IGME,,,,,,Total
Bahrain,Under-five mortality rate,Total,2021,6.91564177602543,,"Deaths per 1,000 live births",Normal value,,5.90171004390207,8.11663112847978,,,,UN_IGME,,,,,,Total
Bangladesh,Under-five mortality rate,Female,2021,25.1976342074457,,"Deaths per 1,000 live births",Normal value,,22.6176136999381,27.9803986065494,,,,UN_IGME,,,,,,Total
Bangladesh,Under-five mortality rate,Male,2021,29.2297336229778,,"Deaths per 1,000 live births",Normal value,,26.3435788880579,32.4109012114057,,,,UN_IGME,,,,,,Total
Bangladesh,Under-five mortality rate,Total,2021,27.2736301431953,,"Deaths per 1,000 live births",Normal value,,24.6354308366146,30.1077774777088,,,,UN_IGME,,,,,,Total
Barbados,Under-five mortality rate,Female,2021,10.8831135795528,,"Deaths per 1,000 live births",Normal value,,7.10702971951475,16.8076976361463,,,,UN_IGME,,,,,,Total
Barbados,Under-five mortality rate,Male,2021,12.8922538229184,,"Deaths per 1,000 live births",Normal value,,8.46695798911782,19.8037444076739,,,,UN_IGME,,,,,,Total
